time,.layout.dim,fault,Fx,,Fy,,Fz,,Wx,,Wy,,Wz
1970/01/01/01:00:04.470000,[],0,-3.363451304478033e-19,,-1.293636135175382e-18,,-7.220160007476807,,1.864574572878717e-19,,-3.770427849392788e-20,,-6.463590598959065e-20
1970/01/01/01:00:04.480000,[],0,-2.1604273511856713e-19,,-1.3014198013419295e-18,,-7.220160007476807,,1.879853245027425e-19,,-1.8309487762496414e-20,,-3.138769469192568e-20
1970/01/01/01:00:04.490000,[],0,-9.812478484024308e-20,,-1.3089175732092633e-18,,-7.220160007476807,,1.8946381937480153e-19,,6.992365118909056e-22,,1.1986911343917823e-21
1970/01/01/01:00:04.500000,[],0,1.7444617117696805e-20,,-1.3161345172586353e-18,,-7.220160007476807,,1.9089382078344965e-19,,1.9327716400393647e-20,,3.3133226730171566e-20
1970/01/01/01:00:04.510000,[],0,-2.45683595609017e-20,,-1.2613792966106876e-18,,-7.220160007476807,,1.8370282952579647e-19,,1.3032721689261654e-20,,2.234180907175916e-20
1970/01/01/01:00:04.510000,[],0,-6.57386217566548e-20,,-1.2075931180503458e-18,,-7.220160007476807,,1.766372853779158e-19,,6.862323481276162e-21,,1.1763983341557298e-20
1970/01/01/01:00:04.530000,[],0,-1.060789019117647e-19,,-1.1547619195071965e-18,,-7.220160007476807,,1.6969540473161179e-19,,8.146475439005618e-22,,1.3965386611115625e-21
1970/01/01/01:00:04.540000,[],0,-1.4560176606295883e-19,,-1.1028718457059794e-18,,-7.220160007476807,,1.628753781292945e-19,,-5.1121567274399235e-21,,-8.763697477838031e-21
1970/01/01/01:00:04.550000,[],0,-1.6190789993003424e-19,,-1.0246010176164914e-18,,-7.220160007476807,,1.536524176969048e-19,,-7.33704598911204e-21,,-1.257779335499023e-20
1970/01/01/01:00:04.560000,[],0,-1.661936002318539e-19,,-1.1190162399139066e-18,,-7.220160007476807,,1.696619039168034e-19,,-7.901284141069073e-21,,-1.354505829674882e-20
1970/01/01/01:00:04.570000,[],0,-2.2245166588114263e-19,,-8.98304703547634e-19,,-7.220160007476807,,1.352411350202761e-19,,-1.6411922512602697e-20,,-2.813472292252994e-20
1970/01/01/01:00:04.580000,[],0,-2.775623415479408e-19,,-6.819176157250005e-19,,-7.220160007476807,,1.0149525503071256e-19,,-2.475070603394276e-20,,-4.24297836188586e-20
1970/01/01/01:00:04.590000,[],0,-3.315430367992033e-19,,-4.697900427679205e-19,,-7.220160007476807,,6.84141439103061e-20,,-3.292024064713623e-20,,-5.643469455946295e-20
1970/01/01/01:00:04.600000,[],0,-3.844109673314288e-19,,-2.6185805912468017e-19,,-7.220160007476807,,3.5987810868220725e-20,,-4.09230902889646e-20,,-7.015386629721851e-20
1970/01/01/01:00:04.610000,[],0,-2.490767744922405e-19,,-2.7503698498721057e-19,,-7.220160007476807,,3.826328779812607e-20,,-1.9937401826220647e-20,,-3.4178401745874994e-20
1970/01/01/01:00:04.620000,[],0,-1.164243916718286e-19,,-2.879247949729106e-19,,-7.220160007476807,,4.0489427928136603e-20,,6.305672934293456e-22,,1.0809724885968502e-21
1970/01/01/01:00:04.630000,[],0,1.3586601504309735e-20,,-3.0052609027393756e-19,,-7.220160007476807,,4.266699704655379e-20,,2.078711341694294e-20,,3.5635050648709537e-20
1970/01/01/01:00:04.640000,[],0,1.409960114875665e-19,,-3.128452911366898e-19,,-7.220160007476807,,4.479674801698202e-20,,4.053845130412744e-20,,6.949448702674011e-20
1970/01/01/01:00:04.650000,[],0,3.6581426048826895e-20,,-2.4645104473405576e-19,,-7.220160007476807,,3.2023130961079796e-20,,2.4074986715192167e-20,,4.127140764385758e-20
1970/01/01/01:00:04.660000,[],0,-6.574852853695983e-20,,-1.813600343111961e-19,,-7.220160007476807,,1.9501782989373507e-20,,7.93838529180535e-21,,1.3608660731035905e-20
1970/01/01/01:00:04.670000,[],0,-1.6602530775129057e-19,,-1.1755270480144215e-19,,-7.220160007476807,,7.228912318859905e-21,,-7.876278083410683e-21,,-1.350219111553168e-20
1970/01/01/01:00:04.680000,[],0,-2.64279966410053e-19,,-5.500977255676379e-20,,-7.220160007476807,,-4.799223961953456e-21,,-2.337386067317398e-20,,-4.006947543972682e-20
1970/01/01/01:00:04.690000,[],0,-3.6054308434651746e-19,,6.2878045405926035e-21,,-7.220160007476807,,-1.658631868135787e-20,,-3.8559153501130096e-20,,-6.610140507874466e-20
1970/01/01/01:00:04.700000,[],0,-3.2287105620295634e-19,,3.595367674325584e-20,,-7.220160007476807,,-2.13535431128471e-20,,-3.34513584550549e-20,,-5.734518130698802e-20
1970/01/01/01:00:04.710000,[],0,-2.859201744571766e-19,,6.502263877535334e-20,,-7.220160007476807,,-2.6023287863438648e-20,,-2.844236948691431e-20,,-4.875834861504575e-20
1970/01/01/01:00:04.720000,[],0,-2.4967973746000337e-19,,9.350371449882144e-20,,-7.220160007476807,,-3.059703604212143e-20,,-2.3530719643590748e-20,,-4.033837699346618e-20
1970/01/01/01:00:04.730000,[],0,-2.1413912111044412e-19,,1.214058284169878e-19,,-7.220160007476807,,-3.5076251370838753e-20,,-1.8714950049902314e-20,,-3.2082771975714576e-20
1970/01/01/01:00:04.740000,[],0,-4.2804226310176335e-19,,3.8303686523761337e-19,,-7.220160007476807,,-7.432375485093222e-20,,-5.3112394714977605e-20,,-9.104982505054607e-20
1970/01/01/01:00:04.750000,[],0,-3.9091705304188807e-19,,2.0338716901453844e-19,,-7.220160007476807,,-4.471532242543383e-20,,-4.743614887349375e-20,,-8.131911143136807e-20
1970/01/01/01:00:04.760000,[],0,-3.5449525669541257e-19,,2.7310133711739674e-20,,-7.220160007476807,,-1.569458566928303e-20,,-4.1868680513734886e-20,,-7.177488180388102e-20
1970/01/01/01:00:04.770000,[],0,-3.1876643090710337e-19,,-1.4524809465230412e-19,,-7.220160007476807,,1.2747305603839646e-20,,-3.640837727974139e-20,,-6.241435735821464e-20
1970/01/01/01:00:04.780000,[],0,-2.83720313467486e-19,,-3.1434062688903254e-19,,-7.220160007476807,,4.061908525798002e-20,,-3.1053636509076434e-20,,-5.323480452093838e-20
1970/01/01/01:00:04.790000,[],0,-2.493467455646625e-19,,-4.800198888009404e-19,,-7.220160007476807,,6.792936437256175e-20,,-2.5802886235458748e-20,,-4.42335187991901e-20
1970/01/01/01:00:04.800000,[],0,-8.054442447596948e-20,,-4.7252997514942585e-19,,-7.220160007476807,,6.56306682243681e-20,,1.8261237848845927e-21,,3.1304977438463946e-21
1970/01/01/01:00:04.810000,[],0,8.488991442644024e-20,,-4.651426318938679e-19,,-7.220160007476807,,6.337138593989289e-20,,2.890237238037329e-20,,4.954692315744728e-20
1970/01/01/01:00:04.820000,[],0,2.470070910514504e-19,,-4.578565665645594e-19,,-7.220160007476807,,6.1150948832465e-20,,5.543420022153446e-20,,9.503006306178638e-20
1970/01/01/01:00:04.830000,[],0,4.058572015249087e-19,,-4.506703832942167e-19,,-7.220160007476807,,5.896880114011036e-20,,8.142985669822214e-20,,1.3959403082216861e-19
1970/01/01/01:00:04.840000,[],0,2.8237966048969066e-19,,-5.773056346190677e-19,,-7.220160007476807,,7.951497881660163e-20,,6.116374428256543e-20,,1.0485212843986321e-19
1970/01/01/01:00:04.850000,[],0,1.6134345255954336e-19,,-7.0135041475934395e-19,,-7.220160007476807,,9.964227998571428e-20,,4.1296833754170785e-20,,7.079457584277765e-20
1970/01/01/01:00:04.860000,[],0,4.271182312717077e-20,,-8.22844221589295e-19,,-7.220160007476807,,1.1935707006075586e-19,,2.1823134515945734e-20,,3.741108820321758e-20
1970/01/01/01:00:04.870000,[],0,-7.355144603979472e-20,,-9.418258808989225e-19,,-7.220160007476807,,1.386656239821544e-19,,2.7367276624768673e-21,,4.691532962576008e-21
1970/01/01/01:00:04.880000,[],0,-1.8748208849758054e-19,,-1.058333649791557e-18,,-7.220160007476807,,1.5757414560450407e-19,,-1.5968225740086094e-20,,-2.737410126871902e-20
1970/01/01/01:00:04.890000,[],0,-9.533184181370046e-20,,-9.027389086188011e-19,,-7.220160007476807,,1.3374999979448147e-19,,-2.3047344051065742e-21,,-3.950973265896984e-21
1970/01/01/01:00:04.900000,[],0,-5.015064787454378e-21,,-7.501657031273366e-19,,-7.220160007476807,,1.1038895880521493e-19,,1.1085717049690122e-20,,1.9004086832493677e-20
1970/01/01/01:00:04.910000,[],0,8.349587598739257e-20,,-6.005690036725676e-19,,-7.220160007476807,,8.748409499907432e-20,,2.420725160266969e-20,,4.149814560457661e-20
1970/01/01/01:00:04.920000,[],0,1.7022825121776372e-19,,-4.539041942002045e-19,,-7.220160007476807,,6.502857767365753e-20,,3.7063934071061e-20,,6.353817269324743e-20
1970/01/01/01:00:04.930000,[],0,1.5248889769246948e-19,,-3.930740557360908e-19,,-7.220160007476807,,5.543280435425077e-20,,3.373032188546414e-20,,5.782340802331731e-20
1970/01/01/01:00:04.940000,[],0,-1.1084299048862705e-19,,-5.449212034448869e-19,,-7.220160007476807,,7.77740544328616e-20,,-8.928197367604546e-21,,-1.5305481201607793e-20
1970/01/01/01:00:04.950000,[],0,-1.042606232160539e-19,,-6.330927630811752e-19,,-7.220160007476807,,9.362646034690607e-20,,-8.900103922933287e-21,,-1.5257320549146453e-20
1970/01/01/01:00:04.960000,[],0,-9.779947021496246e-20,,-7.19437649431005e-19,,-7.220160007476807,,1.0915245303641887e-19,,-8.87168170628028e-21,,-1.520859767236252e-20
1970/01/01/01:00:04.970000,[],0,-9.145776080185396e-20,,-8.039836247436851e-19,,-7.220160007476807,,1.2435701497212092e-19,,-8.842941218961898e-21,,-1.5159327111540196e-20
1970/01/01/01:00:04.980000,[],0,-8.523374368027527e-20,,-8.867582961721595e-19,,-7.220160007476807,,1.3924505107655074e-19,,-8.813891346707374e-21,,-1.510952825372509e-20
1970/01/01/01:00:04.990000,[],0,-1.15931030135229e-19,,-7.830911621209153e-19,,-7.220160007476807,,1.2229926102672749e-19,,-1.3306971644207763e-20,,-2.2811951390070452e-20
1970/01/01/01:00:05.000000,[],0,-1.4600276771428805e-19,,-6.814190326107842e-19,,-7.220160007476807,,1.0568016208242293e-19,,-1.7708859318142016e-20,,-3.035804546857896e-20
1970/01/01/01:00:05.010000,[],0,-1.754584754568453e-19,,-5.817122325372908e-19,,-7.220160007476807,,8.938286870814419e-20,,-2.2020938926683878e-20,,-3.775018055557604e-20
1970/01/01/01:00:05.020000,[],0,-2.0430752376827733e-19,,-4.839413452899011e-19,,-7.220160007476807,,7.340258584127785e-20,,-2.6244574833167922e-20,,-4.499069925240583e-20
1970/01/01/01:00:05.030000,[],0,-2.0170531695876207e-19,,-3.9045388359764666e-19,,-7.220160007476807,,5.873567837903819e-20,,-2.7330703367128395e-20,,-4.6852637574822945e-20
1970/01/01/01:00:05.030000,[],0,-1.9913498245222425e-19,,-2.987971276973369e-19,,-7.220160007476807,,4.435623233553205e-20,,-2.83923799898174e-20,,-4.867265141111555e-20
1970/01/01/01:00:05.050000,[],0,-1.965961454324488e-19,,-2.089436255323927e-19,,-7.220160007476807,,3.0259940555460465e-20,,-2.942998113303714e-20,,-5.0451396689659996e-20
1970/01/01/01:00:05.060000,[],0,-1.9408843108322066e-19,,-1.2086629986245008e-19,,-7.220160007476807,,1.64425491978999e-20,,-3.044388807535121e-20,,-5.2189522876484117e-20
1970/01/01/01:00:05.070000,[],0,-9.900681140481749e-20,,-8.302968862638505e-20,,-7.220160007476807,,1.1481096457793398e-20,,-1.5188906896374636e-20,,-2.6038127031263452e-20
1970/01/01/01:00:05.080000,[],0,-5.81692470675469e-21,,-4.5941511054792856e-20,,-7.220160007476807,,6.617724396998385e-21,,-2.3750791893743726e-22,,-4.0715645770772713e-22
1970/01/01/01:00:05.090000,[],0,8.550974412388095e-20,,-9.590502466382429e-21,,-7.220160007476807,,1.8509583883583985e-21,,1.4414887178462345e-20,,2.471123562467463e-20
