time,data
1970/01/01/01:00:10.120000,0
1970/01/01/01:00:10.170000,0
1970/01/01/01:00:10.170000,0
1970/01/01/01:00:10.200000,0
1970/01/01/01:00:10.260000,0
1970/01/01/01:00:10.300000,0
1970/01/01/01:00:10.300000,0
1970/01/01/01:00:10.340000,0
1970/01/01/01:00:10.340000,0
1970/01/01/01:00:10.350000,0
1970/01/01/01:00:10.360000,0
1970/01/01/01:00:10.400000,0
1970/01/01/01:00:10.440000,0
1970/01/01/01:00:10.490000,0
1970/01/01/01:00:10.530000,0
1970/01/01/01:00:10.530000,0
1970/01/01/01:00:10.580000,0
1970/01/01/01:00:10.580000,0
1970/01/01/01:00:10.580000,0
1970/01/01/01:00:10.590000,0
1970/01/01/01:00:10.630000,0
1970/01/01/01:00:10.630000,0
1970/01/01/01:00:10.680000,0
1970/01/01/01:00:10.680000,0
1970/01/01/01:00:10.720000,0
1970/01/01/01:00:10.720000,0
1970/01/01/01:00:10.770000,0
1970/01/01/01:00:10.770000,0
1970/01/01/01:00:10.780000,0
1970/01/01/01:00:10.820000,0
1970/01/01/01:00:10.870000,0
1970/01/01/01:00:10.910000,0
1970/01/01/01:00:10.950000,0
1970/01/01/01:00:10.950000,0
1970/01/01/01:00:11.000000,0
1970/01/01/01:00:11.000000,0
1970/01/01/01:00:11.000000,0
1970/01/01/01:00:11.010000,0
1970/01/01/01:00:11.050000,0
1970/01/01/01:00:11.090000,0
1970/01/01/01:00:11.090000,0
1970/01/01/01:00:11.100000,0
1970/01/01/01:00:11.150000,0
1970/01/01/01:00:11.190000,0
1970/01/01/01:00:11.190000,0
1970/01/01/01:00:11.200000,0
1970/01/01/01:00:11.210000,0
1970/01/01/01:00:11.250000,0
1970/01/01/01:00:11.250000,0
1970/01/01/01:00:11.290000,0
1970/01/01/01:00:11.290000,0
1970/01/01/01:00:11.340000,0
1970/01/01/01:00:11.380000,0
1970/01/01/01:00:11.380000,0
1970/01/01/01:00:11.430000,0
1970/01/01/01:00:11.430000,0
1970/01/01/01:00:11.430000,0
1970/01/01/01:00:11.440000,0
1970/01/01/01:00:11.480000,0
1970/01/01/01:00:11.480000,0
1970/01/01/01:00:11.530000,0
1970/01/01/01:00:11.530000,0
1970/01/01/01:00:11.570000,0
1970/01/01/01:00:11.610000,0
1970/01/01/01:00:11.610000,0
1970/01/01/01:00:11.660000,0
1970/01/01/01:00:11.660000,0
1970/01/01/01:00:11.710000,0
1970/01/01/01:00:11.710000,0
1970/01/01/01:00:11.710000,0
1970/01/01/01:00:11.730000,0
1970/01/01/01:00:11.770000,0
1970/01/01/01:00:11.810000,0
1970/01/01/01:00:11.810000,0
1970/01/01/01:00:11.820000,0
1970/01/01/01:00:11.830000,0
1970/01/01/01:00:11.870000,0
1970/01/01/01:00:11.870000,0
1970/01/01/01:00:11.910000,0
1970/01/01/01:00:11.960000,0
1970/01/01/01:00:12.000000,0
1970/01/01/01:00:12.040000,0
1970/01/01/01:00:12.040000,0
1970/01/01/01:00:12.050000,0
1970/01/01/01:00:12.060000,0
1970/01/01/01:00:12.100000,0
1970/01/01/01:00:12.100000,0
1970/01/01/01:00:12.150000,0
1970/01/01/01:00:12.190000,0
1970/01/01/01:00:12.230000,0
1970/01/01/01:00:12.240000,0
1970/01/01/01:00:12.250000,0
1970/01/01/01:00:12.290000,0
1970/01/01/01:00:12.330000,0
1970/01/01/01:00:12.380000,0
1970/01/01/01:00:12.380000,0
1970/01/01/01:00:12.420000,0
1970/01/01/01:00:12.420000,0
1970/01/01/01:00:12.430000,0
1970/01/01/01:00:12.440000,0
1970/01/01/01:00:12.480000,0
1970/01/01/01:00:12.520000,0
1970/01/01/01:00:12.520000,0
1970/01/01/01:00:12.570000,0
1970/01/01/01:00:12.570000,0
1970/01/01/01:00:12.580000,0
1970/01/01/01:00:12.620000,0
1970/01/01/01:00:12.620000,0
1970/01/01/01:00:12.660000,0
1970/01/01/01:00:12.700000,0
1970/01/01/01:00:12.700000,0
1970/01/01/01:00:12.750000,0
1970/01/01/01:00:12.750000,0
1970/01/01/01:00:12.790000,0
1970/01/01/01:00:12.790000,0
1970/01/01/01:00:12.800000,0
1970/01/01/01:00:12.810000,0
1970/01/01/01:00:12.850000,0
1970/01/01/01:00:12.850000,0
1970/01/01/01:00:12.890000,0
1970/01/01/01:00:12.890000,0
1970/01/01/01:00:12.940000,0
1970/01/01/01:00:12.940000,0
1970/01/01/01:00:12.980000,0
1970/01/01/01:00:12.980000,0
1970/01/01/01:00:12.990000,0
1970/01/01/01:00:13.000000,0
1970/01/01/01:00:13.040000,0
1970/01/01/01:00:13.090000,0
1970/01/01/01:00:13.140000,0
1970/01/01/01:00:13.140000,0
1970/01/01/01:00:13.180000,0
1970/01/01/01:00:13.230000,0
1970/01/01/01:00:13.230000,0
1970/01/01/01:00:13.270000,0
1970/01/01/01:00:13.280000,0
1970/01/01/01:00:13.290000,0
1970/01/01/01:00:13.330000,0
1970/01/01/01:00:13.330000,0
1970/01/01/01:00:13.370000,0
1970/01/01/01:00:13.370000,0
1970/01/01/01:00:13.420000,0
1970/01/01/01:00:13.460000,0
1970/01/01/01:00:13.470000,0
1970/01/01/01:00:13.470000,0
1970/01/01/01:00:13.480000,0
1970/01/01/01:00:13.520000,0
1970/01/01/01:00:13.520000,0
1970/01/01/01:00:13.560000,0
1970/01/01/01:00:13.560000,0
1970/01/01/01:00:13.610000,0
1970/01/01/01:00:13.610000,0
1970/01/01/01:00:13.650000,0
1970/01/01/01:00:13.650000,0
1970/01/01/01:00:13.660000,0
1970/01/01/01:00:13.670000,0
1970/01/01/01:00:13.710000,0
1970/01/01/01:00:13.760000,0
1970/01/01/01:00:13.760000,0
1970/01/01/01:00:13.810000,0
1970/01/01/01:00:13.810000,0
1970/01/01/01:00:13.850000,0
1970/01/01/01:00:13.860000,0
1970/01/01/01:00:13.870000,0
1970/01/01/01:00:13.900000,0
1970/01/01/01:00:13.950000,0
1970/01/01/01:00:13.950000,0
1970/01/01/01:00:14.000000,0
1970/01/01/01:00:14.000000,0
1970/01/01/01:00:14.010000,0
1970/01/01/01:00:14.050000,0
1970/01/01/01:00:14.090000,0
1970/01/01/01:00:14.090000,0
1970/01/01/01:00:14.140000,0
