====
Fx,Fy,Fz,Mx,My,Mz,m1,m2,m3,m4
0.00334384, -0.000147864, -0.0270413, 0.00119161, -0.0033531, -0.000211785, 0, 0, 0, 0
0.00432259, -0.000196797, -0.0269766, 0.00121649, -0.00354266, -0.000324052, 0, 0, 0, 0
0.00601702, -0.000277971, -0.0263606, 0.00235341, 0.00266943, 0.000480866, 0, 0, 0, 0
0.00639649, -0.000298762, -0.0270847, 0.00207462, -0.00352019, 1.87875e-05, 0, 0, 0, 0
0.00485711, -0.000212213, -0.0293036, 0.00215127, -0.00382185, -0.000473587, 0, 0, 0, 0
0.00743048, -0.000335599, -0.0280621, 0.00312718, 0.00146006, 0.000158248, 0, 0, 0, 0
0.00958986, -0.000444906, -0.0276061, 0.00293691, -0.00100828, 0.000385991, 0, 0, 0, 0
0.00745685, -0.000345635, -0.0296987, 0.00318101, -0.00354775, -0.000413064, 0, 0, 0, 0
0.01243, -0.000584534, -0.0269805, 0.00410738, 0.000221444, 5.42636e-06, 0, 0, 0, 0
0.0139085, -0.000646348, -0.0271521, 0.00391478, 0.00085595, 0.000565666, 0, 0, 0, 0
0.00949937, -0.000463653, -0.0308287, 0.00438434, -0.00396139, -0.000384665, 0, 0, 0, 0
0.0148192, -0.000699918, -0.0281776, 0.00481121, -0.00134458, -0.000279026, 0, 0, 0, 0
0.0172732, -0.000812952, -0.0281039, 0.00527273, 0.00198044, 0.000427596, 0, 0, 0, 0
0.014937, -0.000730253, -0.0303183, 0.00587074, -0.00440216, -0.000115151, 0, 0, 0, 0
0.0182689, -0.000871711, -0.0287328, 0.00607254, -0.00209468, -0.00036396, 0, 0, 0, 0
0.0247644, -0.00116749, -0.026469, 0.00698678, 0.00247848, 0.000481193, 0, 0, 0, 0
0.0207984, -0.00101037, -0.0292788, 0.00757156, -0.00698074, -9.41187e-07, 0, 0, 0, 0
0.0223862, -0.00106323, -0.0298335, 0.00791587, -0.00387576, -0.000572826, 0, 0, 0, 0
0.0304347, -0.00140452, -0.026451, 0.00871002, 0.00200029, 0.000215267, 0, 0, 0, 0
0.0247385, -0.00118716, -0.0298957, 0.00944916, -0.00696108, 0.000230125, 0, 0, 0, 0
0.0308382, -0.00145727, -0.0278897, 0.00964337, -0.00664404, -0.00053571, 0, 0, 0, 0
0.0310962, -0.00143334, -0.0298806, 0.0110428, 0.00187977, 0.000122115, 0, 0, 0, 0
0.0273682, -0.00127857, -0.0332495, 0.011558, -0.00661416, 0.000427195, 0, 0, 0, 0
