====
Fx,Fy,Fz,Mx,My,Mz,m1,m2,m3,m4
-0.0987416, 0.0839847, 0.332899, -1.67943, -4.57481, 0.0569728, 0, 0, 1, 0
-0.115775, 0.0845612, 0.450596, -2.07436, -5.85633, 0.0748556, 0, 0, 1, 0
-0.111357, 0.0753329, 0.537882, -2.0631, -6.44461, 0.0801021, 0, 0, 1, 0
-0.135489, 0.0937835, 0.603246, -1.99539, -6.36485, 0.0814213, 0, 0, 1, 0
-0.121314, 0.0874584, 0.642846, -1.92921, -5.9969, 0.0813879, 0, 0, 1, 0
-0.127348, 0.094286, 0.659471, -1.81486, -5.5667, 0.0813975, 0, 0, 1, 0
-0.127936, 0.0976324, 0.641289, -1.73945, -5.2076, 0.0810633, 0, 0, 1, 0
-0.139657, 0.106178, 0.589749, -1.71868, -5.03608, 0.0807376, 0, 0, 1, 0
-0.136966, 0.106656, 0.541401, -1.70296, -5.03737, 0.0806165, 0, 0, 1, 0
-0.129226, 0.103862, 0.503681, -1.70968, -5.13907, 0.0805595, 0, 0, 1, 0
-0.124309, 0.103853, 0.476472, -1.71942, -5.26377, 0.0804536, 0, 0, 1, 0
-0.120464, 0.101504, 0.466758, -1.77382, -5.47028, 0.0804929, 0, 0, 1, 0
-0.116664, 0.102863, 0.461145, -1.83695, -5.67489, 0.0806959, 0, 0, 1, 0
-0.121516, 0.106028, 0.474069, -1.86462, -5.80422, 0.0808458, 0, 0, 1, 0
-0.114896, 0.103837, 0.48747, -1.8948, -5.83134, 0.0808315, 0, 0, 1, 0
-0.118542, 0.108914, 0.503302, -1.94154, -5.85165, 0.0807794, 0, 0, 1, 0
-0.124281, 0.115234, 0.523222, -1.9166, -5.74812, 0.0808403, 0, 0, 1, 0
-0.117469, 0.108521, 0.533403, -1.958, -5.6822, 0.080774, 0, 0, 1, 0
-0.124867, 0.115671, 0.547197, -1.91602, -5.59098, 0.0807154, 0, 0, 1, 0
-0.128694, 0.118341, 0.554125, -1.87811, -5.49026, 0.0805377, 0, 0, 1, 0
-0.134492, 0.12411, 0.553401, -1.83254, -5.39446, 0.0803728, 0, 0, 1, 0
-0.139456, 0.129936, 0.543931, -1.83472, -5.38946, 0.0801526, 0, 0, 1, 0
-0.143646, 0.135235, 0.539767, -1.77792, -5.36865, 0.0803589, 0, 0, 1, 0
-0.147431, 0.140282, 0.528548, -1.76305, -5.37255, 0.0803136, 0, 0, 1, 0
-0.151293, 0.144995, 0.512865, -1.78907, -5.43889, 0.0802443, 0, 0, 1, 0
-0.15683, 0.149199, 0.511966, -1.75836, -5.47464, 0.0804889, 0, 0, 1, 0
-0.157791, 0.153059, 0.501682, -1.81706, -5.56141, 0.0804857, 0, 0, 1, 0
-0.160328, 0.156065, 0.504201, -1.81427, -5.58349, 0.0806745, 0, 0, 1, 0
-0.162845, 0.159744, 0.506177, -1.84741, -5.60977, 0.080598, 0, 0, 1, 0
-0.159969, 0.158997, 0.509094, -1.85431, -5.59079, 0.080506, 0, 0, 1, 0
-0.164654, 0.163665, 0.515654, -1.85884, -5.56449, 0.0803818, 0, 0, 1, 0
-0.163972, 0.162405, 0.518093, -1.8665, -5.52632, 0.0803072, 0, 0, 1, 0
-0.169356, 0.16807, 0.526313, -1.87656, -5.52529, 0.0803991, 0, 0, 1, 0
-0.174045, 0.173225, 0.535373, -1.81368, -5.42766, 0.0804498, 0, 0, 1, 0
-0.176152, 0.172796, 0.524207, -1.84604, -5.40289, 0.0802505, 0, 0, 1, 0
-0.182613, 0.17994, 0.523944, -1.83168, -5.43173, 0.0802669, 0, 0, 1, 0
-0.185728, 0.183109, 0.51957, -1.78314, -5.38707, 0.0802647, 0, 0, 1, 0
-0.191082, 0.189095, 0.508134, -1.85988, -5.47671, 0.0802565, 0, 0, 1, 0
