time,.layout.dim,fault,Fx,,Fy,,Fz,,Wx,,Wy,,Wz
1970/01/01/01:00:07.540000,[],0,1.9527701207527693e-19,,1.7330297202750282e-18,,-7.220160007476807,,-2.697594692815457e-19,,1.8366784560199916e-20,,3.148591592731782e-20
1970/01/01/01:00:07.550000,[],0,1.129395185252339e-19,,1.596268847674339e-18,,-7.220160007476807,,-2.451237041942437e-19,,6.3872596806582504e-21,,1.0949588485581896e-20
1970/01/01/01:00:07.560000,[],0,-1.4966235691589043e-19,,1.5245905456693221e-18,,-7.220160007476807,,-2.342871211819162e-19,,-3.521779942198762e-20,,-6.037336674492248e-20
1970/01/01/01:00:07.570000,[],0,-4.069972373547658e-19,,1.4541934430355733e-18,,-7.220160007476807,,-2.236438399389847e-19,,-7.598723444982196e-20,,-1.302638212534826e-19
1970/01/01/01:00:07.580000,[],0,-6.591447130759563e-19,,1.3850588248117335e-18,,-7.220160007476807,,-2.131910558061847e-19,,-1.159336796981286e-19,,-1.9874345460384817e-19
1970/01/01/01:00:07.590000,[],0,-9.06183288689472e-19,,1.31716838962675e-18,,-7.220160007476807,,-2.0292601582304013e-19,,-1.5506961073075543e-19,,-2.6583361839558073e-19
1970/01/01/01:00:07.600000,[],0,-7.421288162957714e-19,,1.3551005143741708e-18,,-7.220160007476807,,-2.082515080042331e-19,,-1.2691969805799263e-19,,-2.175766252422731e-19
1970/01/01/01:00:07.610000,[],0,-5.812812197393624e-19,,1.3921384568794217e-18,,-7.220160007476807,,-2.134496531451841e-19,,-9.932010606182195e-20,,-1.7026304450227923e-19
1970/01/01/01:00:07.620000,[],0,-6.249821537775162e-19,,1.1514486475636154e-18,,-7.220160007476807,,-1.7404549587423987e-19,,-1.0591076452756623e-19,,-1.8156131061868497e-19
1970/01/01/01:00:07.630000,[],0,-6.677465642658952e-19,,9.1545753431984e-19,,-7.220160007476807,,-1.3541202536495072e-19,,-1.1235901868098068e-19,,-1.92615455056811e-19
1970/01/01/01:00:07.640000,[],0,-7.09588926865219e-19,,6.840947550972401e-19,,-7.220160007476807,,-9.753767401343796e-20,,-1.1866707218291593e-19,,-2.0342926475289915e-19
1970/01/01/01:00:07.650000,[],0,-7.505234587422658e-19,,4.572907750255731e-19,,-7.220160007476807,,-6.041106162393046e-20,,-1.2483708992013139e-19,,-2.1400644909500886e-19
1970/01/01/01:00:07.660000,[],0,-5.366715760995307e-19,,5.240863849710544e-19,,-7.220160007476807,,-7.159493124655953e-20,,-9.145337932954684e-20,,-1.5677722170779458e-19
1970/01/01/01:00:07.670000,[],0,-3.2704307086933825e-19,,5.89493675655942e-19,,-7.220160007476807,,-8.254797224184655e-20,,-5.872818851708547e-20,,-1.0067689552391059e-19
1970/01/01/01:00:07.680000,[],0,-1.215744440149779e-19,,6.535338435834325e-19,,-7.220160007476807,,-9.327369366504635e-20,,-2.6651633320662108e-20,,-4.568851334079954e-20
1970/01/01/01:00:07.690000,[],0,7.979697631964832e-20,,7.162278784615696e-19,,-7.220160007476807,,-1.0377557225967105e-19,,4.786057734605798e-21,,8.204670402181368e-21
1970/01/01/01:00:07.700000,[],0,5.512638563608816e-20,,7.617439569563945e-19,,-7.220160007476807,,-1.111311595345252e-19,,-3.4894473281546236e-22,,-5.981909777532352e-22
1970/01/01/01:00:07.710000,[],0,7.533015092866082e-21,,7.979081899396363e-19,,-7.220160007476807,,-1.1709495080527354e-19,,-9.287867453287393e-21,,-1.5922058722147978e-20
1970/01/01/01:00:07.720000,[],0,-3.91092447643492e-20,,8.332693339456657e-19,,-7.220160007476807,,-1.2292775027120586e-19,,-1.804708248462244e-20,,-3.093785707271315e-20
1970/01/01/01:00:07.730000,[],0,-8.481475085062302e-20,,8.678399517800358e-19,,-7.220160007476807,,-1.2863161295915648e-19,,-2.662930913764598e-20,,-4.565024331277189e-20
1970/01/01/01:00:07.740000,[],0,-1.2959765651704184e-19,,9.016323477543583e-19,,-7.220160007476807,,-1.3420852927247435e-19,,-3.503722847920671e-20,,-6.006382025006865e-20
1970/01/01/01:00:07.750000,[],0,-2.6407438617843944e-19,,8.4739551085654e-19,,-7.220160007476807,,-1.2444782389374276e-19,,-5.67880105409482e-20,,-9.735087336666876e-20
1970/01/01/01:00:07.760000,[],0,-3.958351846207928e-19,,7.941586319217217e-19,,-7.220160007476807,,-1.1486988665629418e-19,,-7.809809597548072e-20,,-1.3388245209006653e-19
1970/01/01/01:00:07.770000,[],0,-5.249211653054852e-19,,7.419071318916072e-19,,-7.220160007476807,,-1.0547202922313781e-19,,-9.897417654471286e-20,,-1.69670007701867e-19
1970/01/01/01:00:07.780000,[],0,-6.513729376307143e-19,,6.906264317079002e-19,,-7.220160007476807,,-9.625157618197992e-20,,-1.1942283091945383e-19,,-2.047248493120074e-19
1970/01/01/01:00:07.790000,[],0,-7.752305681574005e-19,,6.403022625050343e-19,,-7.220160007476807,,-8.720590381931508e-20,,-1.3945057960937602e-19,,-2.3905811800936308e-19
1970/01/01/01:00:07.800000,[],0,-7.367830581895709e-19,,6.765327733348569e-19,,-7.220160007476807,,-9.468252441989194e-20,,-1.3369565144329733e-19,,-2.2919254163859625e-19
1970/01/01/01:00:07.810000,[],0,-6.990308452253804e-19,,7.119709485354303e-19,,-7.220160007476807,,-1.0200014539709962e-19,,-1.2804245356786558e-19,,-2.1950134528071327e-19
1970/01/01/01:00:07.820000,[],0,-6.61963744603537e-19,,7.46629247514731e-19,,-7.220160007476807,,-1.091612159810331e-19,,-1.2248951256761468e-19,,-2.099820215444823e-19
1970/01/01/01:00:07.830000,[],0,-6.255717784579017e-19,,7.805196643916411e-19,,-7.220160007476807,,-1.1616814662769616e-19,,-1.1703538087647265e-19,,-2.0063208888806573e-19
1970/01/01/01:00:07.840000,[],0,-4.892028343711978e-19,,7.4321547312672465e-19,,-7.220160007476807,,-1.1107695335500884e-19,,-9.62075869754983e-20,,-1.6492729011161178e-19
1970/01/01/01:00:07.850000,[],0,-5.140233709278288e-19,,6.821189308065806e-19,,-7.220160007476807,,-1.0376550392065263e-19,,-1.0255212689726537e-19,,-1.7580365534152426e-19
1970/01/01/01:00:07.860000,[],0,-6.784847127853289e-19,,5.29566973517101e-19,,-7.220160007476807,,-8.035382396826136e-20,,-1.2886340447643032e-19,,-2.2090868969539567e-19
1970/01/01/01:00:07.870000,[],0,-8.395889421267825e-19,,3.8001308065903163e-19,,-7.220160007476807,,-5.740234724213367e-20,,-1.546355606290153e-19,,-2.6508954358519514e-19
1970/01/01/01:00:07.880000,[],0,-9.97387189053803e-19,,2.3341230013595895e-19,,-7.220160007476807,,-3.490415579816224e-20,,-1.7987682192470608e-19,,-3.08360266156639e-19
1970/01/01/01:00:07.890000,[],0,-1.151929653089815e-18,,8.972016452760975e-20,,-7.220160007476807,,-1.2852436705403442e-20,,-2.0459526629917214e-19,,-3.5073473853438165e-19
1970/01/01/01:00:07.900000,[],0,-1.1657573211971342e-18,,1.1698696496124416e-19,,-7.220160007476807,,-1.9450678737154215e-20,,-2.0609831809566635e-19,,-3.5331140614248433e-19
1970/01/01/01:00:07.910000,[],0,-1.1791918717183376e-18,,1.4369674326285506e-19,,-7.220160007476807,,-2.5915011213725164e-20,,-2.075506921549446e-19,,-3.558011939368748e-19
1970/01/01/01:00:07.920000,[],0,-1.1922398187007491e-18,,1.6985794572197846e-19,,-7.220160007476807,,-3.224746492814359e-20,,-2.0895326735640777e-19,,-3.582056011824133e-19
1970/01/01/01:00:07.930000,[],0,-1.2049075727941159e-18,,1.9547894754231644e-19,,-7.220160007476807,,-3.845004643962979e-20,,-2.1030690965475958e-19,,-3.6052612714396012e-19
1970/01/01/01:00:07.940000,[],0,-1.2172015446481852e-18,,2.2056796883120625e-19,,-7.220160007476807,,-4.4524731611248515e-20,,-2.1161243330591554e-19,,-3.627641676887989e-19
1970/01/01/01:00:07.950000,[],0,-1.2087680247129009e-18,,1.2880619976719345e-19,,-7.220160007476807,,-3.133027349401287e-20,,-2.0994556097404462e-19,,-3.5990667226273448e-19
1970/01/01/01:00:07.960000,[],0,-1.200382377855568e-18,,3.886678390964313e-20,,-7.220160007476807,,-1.8396574371361762e-20,,-2.0829103172787664e-19,,-3.5707032164107843e-19
1970/01/01/01:00:07.970000,[],0,-1.1920443972810334e-18,,-4.9277734029198087e-20,,-7.220160007476807,,-5.719707962663051e-21,,-2.066487550945321e-19,,-3.542550124262542e-19
1970/01/01/01:00:07.980000,[],0,-1.1837539795917207e-18,,-1.3565442805851997e-19,,-7.220160007476807,,6.704192639888236e-21,,-2.0501866645052565e-19,,-3.514605636725028e-19
1970/01/01/01:00:07.990000,[],0,-1.0001571067325135e-18,,-1.3397961511588596e-20,,-7.220160007476807,,-1.1353386718239887e-20,,-1.7509689413158306e-19,,-3.00166085761718e-19
1970/01/01/01:00:08.000000,[],0,-9.625808764436437e-19,,2.323483616912825e-20,,-7.220160007476807,,-1.6323900478786825e-20,,-1.6933497370438888e-19,,-2.9028851527206915e-19
1970/01/01/01:00:08.010000,[],0,-1.0106066726157427e-18,,3.0638391841574814e-20,,-7.220160007476807,,-1.5423971593181746e-20,,-1.7629877463692553e-19,,-3.0222646342061688e-19
1970/01/01/01:00:08.020000,[],0,-1.05757078247163e-18,,3.7890810953232857e-20,,-7.220160007476807,,-1.4540499078122497e-20,,-1.8310566974701854e-19,,-3.1389542277372e-19
1970/01/01/01:00:08.030000,[],0,-1.1034899564187097e-18,,4.4994395715768175e-20,,-7.220160007476807,,-1.367324221112613e-20,,-1.8975811472711141e-19,,-3.252996326320179e-19
1970/01/01/01:00:08.040000,[],0,-1.148380427876503e-18,,5.195140795116822e-20,,-7.220160007476807,,-1.2821963500883959e-20,,-1.9625853942025352e-19,,-3.3644320304917914e-19
