time,data
1970/01/01/01:00:11.640000,0
1970/01/01/01:00:11.650000,0
1970/01/01/01:00:11.690000,0
1970/01/01/01:00:11.730000,0
1970/01/01/01:00:11.730000,0
1970/01/01/01:00:11.780000,0
1970/01/01/01:00:11.780000,0
1970/01/01/01:00:11.790000,0
1970/01/01/01:00:11.830000,0
1970/01/01/01:00:11.870000,0
1970/01/01/01:00:11.870000,0
1970/01/01/01:00:11.920000,0
1970/01/01/01:00:11.960000,0
1970/01/01/01:00:11.960000,0
1970/01/01/01:00:12.010000,0
1970/01/01/01:00:12.010000,0
1970/01/01/01:00:12.020000,0
1970/01/01/01:00:12.060000,0
1970/01/01/01:00:12.060000,0
1970/01/01/01:00:12.110000,0
1970/01/01/01:00:12.110000,0
1970/01/01/01:00:12.150000,0
1970/01/01/01:00:12.150000,0
1970/01/01/01:00:12.150000,0
1970/01/01/01:00:12.160000,0
1970/01/01/01:00:12.190000,0
1970/01/01/01:00:12.240000,0
1970/01/01/01:00:12.290000,0
1970/01/01/01:00:12.290000,0
1970/01/01/01:00:12.290000,0
1970/01/01/01:00:12.300000,0
1970/01/01/01:00:12.340000,0
1970/01/01/01:00:12.340000,0
1970/01/01/01:00:12.390000,0
1970/01/01/01:00:12.390000,0
1970/01/01/01:00:12.440000,0
1970/01/01/01:00:12.440000,0
1970/01/01/01:00:12.440000,0
1970/01/01/01:00:12.450000,0
1970/01/01/01:00:12.490000,0
1970/01/01/01:00:12.490000,0
1970/01/01/01:00:12.540000,0
1970/01/01/01:00:12.590000,0
1970/01/01/01:00:12.630000,0
1970/01/01/01:00:12.670000,0
1970/01/01/01:00:12.670000,0
1970/01/01/01:00:12.680000,0
1970/01/01/01:00:12.690000,0
1970/01/01/01:00:12.730000,0
1970/01/01/01:00:12.780000,0
1970/01/01/01:00:12.780000,0
1970/01/01/01:00:12.820000,0
1970/01/01/01:00:12.820000,0
1970/01/01/01:00:12.830000,0
1970/01/01/01:00:12.840000,0
1970/01/01/01:00:12.880000,0
1970/01/01/01:00:12.880000,0
1970/01/01/01:00:12.920000,0
1970/01/01/01:00:12.970000,0
1970/01/01/01:00:12.970000,0
1970/01/01/01:00:13.010000,0
1970/01/01/01:00:13.010000,0
1970/01/01/01:00:13.050000,0
1970/01/01/01:00:13.060000,0
1970/01/01/01:00:13.070000,0
1970/01/01/01:00:13.110000,0
1970/01/01/01:00:13.150000,0
1970/01/01/01:00:13.150000,0
1970/01/01/01:00:13.200000,0
1970/01/01/01:00:13.200000,0
1970/01/01/01:00:13.210000,0
1970/01/01/01:00:13.250000,0
1970/01/01/01:00:13.250000,0
1970/01/01/01:00:13.300000,0
1970/01/01/01:00:13.340000,0
1970/01/01/01:00:13.350000,0
1970/01/01/01:00:13.360000,0
1970/01/01/01:00:13.400000,0
1970/01/01/01:00:13.450000,0
1970/01/01/01:00:13.450000,0
1970/01/01/01:00:13.490000,0
1970/01/01/01:00:13.540000,0
1970/01/01/01:00:13.540000,0
1970/01/01/01:00:13.590000,0
1970/01/01/01:00:13.590000,0
1970/01/01/01:00:13.630000,0
1970/01/01/01:00:13.630000,0
1970/01/01/01:00:13.640000,0
1970/01/01/01:00:13.680000,0
1970/01/01/01:00:13.730000,0
1970/01/01/01:00:13.730000,0
1970/01/01/01:00:13.770000,0
1970/01/01/01:00:13.820000,0
1970/01/01/01:00:13.820000,0
1970/01/01/01:00:13.830000,0
1970/01/01/01:00:13.870000,0
1970/01/01/01:00:13.910000,0
1970/01/01/01:00:13.910000,0
1970/01/01/01:00:13.960000,0
1970/01/01/01:00:13.960000,0
1970/01/01/01:00:13.970000,0
1970/01/01/01:00:14.000000,0
1970/01/01/01:00:14.050000,0
1970/01/01/01:00:14.100000,0
1970/01/01/01:00:14.100000,0
1970/01/01/01:00:14.110000,0
1970/01/01/01:00:14.150000,0
1970/01/01/01:00:14.200000,0
1970/01/01/01:00:14.250000,0
1970/01/01/01:00:14.250000,0
1970/01/01/01:00:14.260000,0
1970/01/01/01:00:14.300000,0
1970/01/01/01:00:14.340000,0
1970/01/01/01:00:14.390000,0
1970/01/01/01:00:14.390000,0
1970/01/01/01:00:14.430000,0
1970/01/01/01:00:14.440000,0
1970/01/01/01:00:14.450000,0
1970/01/01/01:00:14.490000,0
1970/01/01/01:00:14.540000,0
1970/01/01/01:00:14.580000,0
1970/01/01/01:00:14.580000,0
1970/01/01/01:00:14.630000,0
1970/01/01/01:00:14.630000,0
1970/01/01/01:00:14.640000,0
1970/01/01/01:00:14.680000,0
1970/01/01/01:00:14.680000,0
1970/01/01/01:00:14.720000,0
1970/01/01/01:00:14.770000,0
1970/01/01/01:00:14.770000,0
1970/01/01/01:00:14.810000,0
1970/01/01/01:00:14.810000,0
1970/01/01/01:00:14.820000,0
1970/01/01/01:00:14.830000,0
1970/01/01/01:00:14.860000,0
1970/01/01/01:00:14.910000,0
1970/01/01/01:00:14.910000,0
1970/01/01/01:00:14.960000,0
1970/01/01/01:00:14.960000,0
1970/01/01/01:00:14.970000,0
1970/01/01/01:00:15.010000,0
1970/01/01/01:00:15.060000,0
1970/01/01/01:00:15.060000,0
1970/01/01/01:00:15.100000,0
1970/01/01/01:00:15.100000,0
1970/01/01/01:00:15.110000,0
1970/01/01/01:00:15.120000,0
1970/01/01/01:00:15.160000,0
1970/01/01/01:00:15.160000,0
1970/01/01/01:00:15.200000,0
1970/01/01/01:00:15.250000,0
1970/01/01/01:00:15.290000,0
1970/01/01/01:00:15.340000,0
1970/01/01/01:00:15.340000,0
1970/01/01/01:00:15.350000,0
1970/01/01/01:00:15.390000,0
1970/01/01/01:00:15.440000,0
1970/01/01/01:00:15.440000,0
1970/01/01/01:00:15.480000,0
1970/01/01/01:00:15.490000,0
1970/01/01/01:00:15.490000,0
1970/01/01/01:00:15.500000,0
1970/01/01/01:00:15.540000,0
1970/01/01/01:00:15.580000,0
1970/01/01/01:00:15.630000,0
1970/01/01/01:00:15.630000,0
1970/01/01/01:00:15.680000,0
1970/01/01/01:00:15.680000,0
1970/01/01/01:00:15.690000,0
1970/01/01/01:00:15.730000,0
1970/01/01/01:00:15.770000,0
1970/01/01/01:00:15.770000,0
1970/01/01/01:00:15.820000,0
1970/01/01/01:00:15.820000,0
1970/01/01/01:00:15.860000,0
1970/01/01/01:00:15.860000,0
1970/01/01/01:00:15.870000,0
1970/01/01/01:00:15.880000,0
1970/01/01/01:00:15.920000,0
1970/01/01/01:00:15.960000,0
1970/01/01/01:00:15.960000,0
1970/01/01/01:00:16.010000,0
1970/01/01/01:00:16.010000,0
1970/01/01/01:00:16.050000,0
1970/01/01/01:00:16.050000,0
1970/01/01/01:00:16.070000,0
1970/01/01/01:00:16.070000,0
1970/01/01/01:00:16.110000,0
1970/01/01/01:00:16.110000,0
1970/01/01/01:00:16.160000,0
1970/01/01/01:00:16.200000,0
1970/01/01/01:00:16.200000,0
1970/01/01/01:00:16.250000,0
1970/01/01/01:00:16.250000,0
1970/01/01/01:00:16.290000,0
1970/01/01/01:00:16.290000,0
1970/01/01/01:00:16.300000,0
1970/01/01/01:00:16.310000,0
1970/01/01/01:00:16.350000,0
1970/01/01/01:00:16.350000,0
1970/01/01/01:00:16.400000,0
1970/01/01/01:00:16.440000,0
1970/01/01/01:00:16.440000,0
1970/01/01/01:00:16.490000,0
1970/01/01/01:00:16.500000,0
1970/01/01/01:00:16.540000,0
1970/01/01/01:00:16.540000,0
1970/01/01/01:00:16.580000,0
1970/01/01/01:00:16.580000,0
