time,.layout.dim,.layout.data_offset,.data,,,,,
1970/01/01/01:00:07.390000,[],0,-8.290554691101674e-19, 1.825657922256599e-18, -7.220160007476807, -3.342825297410082e-19, -1.146381597625057e-19, -1.965225651320228e-19
1970/01/01/01:00:07.410000,[],0,-8.321914659087208e-19, 1.761553492735271e-18, -7.220160007476807, -3.2106144351663174e-19, -1.1474529257652838e-19, -1.9670621215270664e-19
1970/01/01/01:00:07.420000,[],0,-8.351815170279468e-19, 1.6985551070905025e-18, -7.220160007476807, -3.0807266579741197e-19, -1.148388027598381e-19, -1.9686651717048e-19
1970/01/01/01:00:07.430000,[],0,-8.380282074072598e-19, 1.636646738697926e-18, -7.220160007476807, -2.953128361621104e-19, -1.149189617310733e-19, -1.9700393254974037e-19
1970/01/01/01:00:07.440000,[],0,-8.407341736848622e-19, 1.5758128779210558e-18, -7.220160007476807, -2.8277869758706507e-19, -1.1498601505947839e-19, -1.971188848054911e-19
1970/01/01/01:00:07.450000,[],0,-8.433019491013799e-19, 1.5160382219185598e-18, -7.220160007476807, -2.704669413498258e-19, -1.150402470883889e-19, -1.9721183922682675e-19
1970/01/01/01:00:07.460000,[],0,-7.035983297727451e-19, 1.475766623603686e-18, -7.220160007476807, -2.628729838868886e-19, -9.502584314819266e-20, -1.62901447243287e-19
1970/01/01/01:00:07.470000,[],0,-5.6661840940609425e-19, 1.4361528406709449e-18, -7.220160007476807, -2.554046027806946e-19, -7.540223681098797e-20, -1.2926096815833862e-19
1970/01/01/01:00:07.480000,[],0,-4.3232139765747087e-19, 1.3971877741335985e-18, -7.220160007476807, -2.480600402724421e-19, -5.616355380195602e-20, -9.628037886940296e-20
1970/01/01/01:00:07.490000,[],0,-3.0066712456837785e-19, 1.3588622216073322e-18, -7.220160007476807, -2.4083756445272363e-19, -3.730403293737732e-20, -6.394977259617499e-20
1970/01/01/01:00:07.500000,[],0,-2.38131365530574e-19, 1.2631744853350809e-18, -7.220160007476807, -2.234070594886414e-19, -2.7649058043036206e-20, -4.7398386139826143e-20
1970/01/01/01:00:07.510000,[],0,-1.7682250921164231e-19, 1.1692742863665565e-18, -7.220160007476807, -2.0630281265272594e-19, -1.818441870011325e-20, -3.117329012338679e-20
1970/01/01/01:00:07.520000,[],0,-1.1672215084295355e-19, 1.0771351549221576e-18, -7.220160007476807, -1.8952001595766685e-19, -8.907253703794329e-21, -1.5269578008731297e-20
1970/01/01/01:00:07.530000,[],0,-5.78121247627742e-20, 9.867310348125887e-19, -7.220160007476807, -1.7305393896433607e-19, 1.8525918731685088e-22, 3.175871710450161e-22
1970/01/01/01:00:07.540000,[],0,-7.452256006741271e-23, 8.980362834388606e-19, -7.220160007476807, -1.5689986415830264e-19, 9.09590339003827e-21, 1.559297654767112e-20
1970/01/01/01:00:07.550000,[],0,-3.258750401456251e-20, 9.026314785367458e-19, -7.220160007476807, -1.5735953100963777e-19, 3.611754089948517e-21, 6.191578151414041e-21
1970/01/01/01:00:07.560000,[],0,-2.5913115483782254e-19, 8.234398433291215e-19, -7.220160007476807, -1.4474105878620326e-19, -3.2488827183598615e-20, -5.569513693070372e-20
1970/01/01/01:00:07.570000,[],0,-4.811180227628928e-19, 7.457496960296457e-19, -7.220160007476807, -1.3236047853706017e-19, -6.78641528134893e-20, -1.1633854583388208e-19
1970/01/01/01:00:07.580000,[],0,-6.986170481239508e-19, 6.695387544605679e-19, -7.220160007476807, -1.2021427474460515e-19, -1.0252517890387204e-19, -1.7575744954949493e-19
1970/01/01/01:00:07.590000,[],0,-9.116962406769847e-19, 5.947850466368671e-19, -7.220160007476807, -1.0829897066532607e-19, -1.3648273311971818e-19, -2.3397038855549083e-19
1970/01/01/01:00:07.600000,[],0,-1.0012508462974617e-18, 5.53521813863907e-19, -7.220160007476807, -1.0101158701691632e-19, -1.5064061431250802e-19, -2.5824103095053306e-19
1970/01/01/01:00:07.610000,[],0,-1.0889142068449128e-18, 5.130284277472924e-19, -7.220160007476807, -9.385985452661674e-20, -1.6450025812038128e-19, -2.820004498776234e-19
