time,data
1970/01/01/01:00:11.070000,0
1970/01/01/01:00:11.070000,0
1970/01/01/01:00:11.090000,0
1970/01/01/01:00:11.130000,0
1970/01/01/01:00:11.170000,0
1970/01/01/01:00:11.220000,0
1970/01/01/01:00:11.220000,0
1970/01/01/01:00:11.260000,0
1970/01/01/01:00:11.310000,0
1970/01/01/01:00:11.310000,0
1970/01/01/01:00:11.310000,0
1970/01/01/01:00:11.320000,0
1970/01/01/01:00:11.360000,0
1970/01/01/01:00:11.400000,0
1970/01/01/01:00:11.450000,0
1970/01/01/01:00:11.450000,0
1970/01/01/01:00:11.490000,0
1970/01/01/01:00:11.490000,0
1970/01/01/01:00:11.500000,0
1970/01/01/01:00:11.510000,0
1970/01/01/01:00:11.550000,0
1970/01/01/01:00:11.550000,0
1970/01/01/01:00:11.590000,0
1970/01/01/01:00:11.590000,0
1970/01/01/01:00:11.640000,0
1970/01/01/01:00:11.640000,0
1970/01/01/01:00:11.690000,0
1970/01/01/01:00:11.690000,0
1970/01/01/01:00:11.730000,0
1970/01/01/01:00:11.730000,0
1970/01/01/01:00:11.740000,0
1970/01/01/01:00:11.750000,0
1970/01/01/01:00:11.790000,0
1970/01/01/01:00:11.790000,0
1970/01/01/01:00:11.830000,0
1970/01/01/01:00:11.880000,0
1970/01/01/01:00:11.920000,0
1970/01/01/01:00:11.920000,0
1970/01/01/01:00:11.930000,0
1970/01/01/01:00:11.940000,0
1970/01/01/01:00:11.980000,0
1970/01/01/01:00:12.020000,0
1970/01/01/01:00:12.020000,0
1970/01/01/01:00:12.070000,0
1970/01/01/01:00:12.070000,0
1970/01/01/01:00:12.110000,0
1970/01/01/01:00:12.110000,0
1970/01/01/01:00:12.150000,0
1970/01/01/01:00:12.160000,0
1970/01/01/01:00:12.170000,0
1970/01/01/01:00:12.210000,0
1970/01/01/01:00:12.210000,0
1970/01/01/01:00:12.250000,0
1970/01/01/01:00:12.250000,0
1970/01/01/01:00:12.300000,0
1970/01/01/01:00:12.300000,0
1970/01/01/01:00:12.340000,0
1970/01/01/01:00:12.340000,0
1970/01/01/01:00:12.390000,0
1970/01/01/01:00:12.390000,0
1970/01/01/01:00:12.430000,0
1970/01/01/01:00:12.430000,0
1970/01/01/01:00:12.440000,0
1970/01/01/01:00:12.450000,0
1970/01/01/01:00:12.500000,0
1970/01/01/01:00:12.540000,0
1970/01/01/01:00:12.540000,0
1970/01/01/01:00:12.580000,0
1970/01/01/01:00:12.580000,0
1970/01/01/01:00:12.590000,0
1970/01/01/01:00:12.600000,0
1970/01/01/01:00:12.640000,0
1970/01/01/01:00:12.640000,0
1970/01/01/01:00:12.690000,0
1970/01/01/01:00:12.690000,0
1970/01/01/01:00:12.740000,0
1970/01/01/01:00:12.780000,0
1970/01/01/01:00:12.780000,0
1970/01/01/01:00:12.830000,0
1970/01/01/01:00:12.870000,0
1970/01/01/01:00:12.870000,0
1970/01/01/01:00:12.880000,0
1970/01/01/01:00:12.890000,0
1970/01/01/01:00:12.930000,0
1970/01/01/01:00:12.970000,0
1970/01/01/01:00:12.970000,0
1970/01/01/01:00:13.020000,0
1970/01/01/01:00:13.020000,0
1970/01/01/01:00:13.060000,0
1970/01/01/01:00:13.060000,0
1970/01/01/01:00:13.110000,0
1970/01/01/01:00:13.110000,0
1970/01/01/01:00:13.120000,0
1970/01/01/01:00:13.160000,0
1970/01/01/01:00:13.160000,0
1970/01/01/01:00:13.210000,0
1970/01/01/01:00:13.250000,0
1970/01/01/01:00:13.290000,0
1970/01/01/01:00:13.290000,0
1970/01/01/01:00:13.300000,0
1970/01/01/01:00:13.310000,0
1970/01/01/01:00:13.350000,0
1970/01/01/01:00:13.390000,0
1970/01/01/01:00:13.430000,0
1970/01/01/01:00:13.430000,0
1970/01/01/01:00:13.440000,0
1970/01/01/01:00:13.450000,0
1970/01/01/01:00:13.490000,0
1970/01/01/01:00:13.530000,0
1970/01/01/01:00:13.530000,0
1970/01/01/01:00:13.580000,0
1970/01/01/01:00:13.620000,0
1970/01/01/01:00:13.670000,0
1970/01/01/01:00:13.670000,0
1970/01/01/01:00:13.670000,0
1970/01/01/01:00:13.680000,0
1970/01/01/01:00:13.730000,0
1970/01/01/01:00:13.770000,0
1970/01/01/01:00:13.770000,0
1970/01/01/01:00:13.820000,0
1970/01/01/01:00:13.870000,0
1970/01/01/01:00:13.870000,0
1970/01/01/01:00:13.870000,0
1970/01/01/01:00:13.880000,0
1970/01/01/01:00:13.920000,0
1970/01/01/01:00:13.960000,0
1970/01/01/01:00:14.010000,0
1970/01/01/01:00:14.050000,0
1970/01/01/01:00:14.100000,0
1970/01/01/01:00:14.140000,0
1970/01/01/01:00:14.140000,0
1970/01/01/01:00:14.150000,0
1970/01/01/01:00:14.160000,0
1970/01/01/01:00:14.200000,0
1970/01/01/01:00:14.200000,0
1970/01/01/01:00:14.250000,0
1970/01/01/01:00:14.250000,0
1970/01/01/01:00:14.290000,0
1970/01/01/01:00:14.290000,0
1970/01/01/01:00:14.330000,0
1970/01/01/01:00:14.330000,0
1970/01/01/01:00:14.340000,0
1970/01/01/01:00:14.350000,0
1970/01/01/01:00:14.390000,0
1970/01/01/01:00:14.390000,0
1970/01/01/01:00:14.440000,0
1970/01/01/01:00:14.440000,0
1970/01/01/01:00:14.480000,0
1970/01/01/01:00:14.480000,0
1970/01/01/01:00:14.490000,0
1970/01/01/01:00:14.500000,0
1970/01/01/01:00:14.540000,0
1970/01/01/01:00:14.540000,0
1970/01/01/01:00:14.590000,0
1970/01/01/01:00:14.630000,0
1970/01/01/01:00:14.630000,0
1970/01/01/01:00:14.670000,0
1970/01/01/01:00:14.670000,0
1970/01/01/01:00:14.680000,0
1970/01/01/01:00:14.690000,0
1970/01/01/01:00:14.730000,0
1970/01/01/01:00:14.780000,0
1970/01/01/01:00:14.820000,0
1970/01/01/01:00:14.860000,0
1970/01/01/01:00:14.910000,0
1970/01/01/01:00:14.910000,0
1970/01/01/01:00:14.920000,0
1970/01/01/01:00:14.960000,0
1970/01/01/01:00:15.000000,0
1970/01/01/01:00:15.050000,0
1970/01/01/01:00:15.050000,0
1970/01/01/01:00:15.090000,0
1970/01/01/01:00:15.140000,0
1970/01/01/01:00:15.140000,0
1970/01/01/01:00:15.150000,0
1970/01/01/01:00:15.190000,0
1970/01/01/01:00:15.230000,0
1970/01/01/01:00:15.270000,0
1970/01/01/01:00:15.270000,0
1970/01/01/01:00:15.280000,0
1970/01/01/01:00:15.290000,0
1970/01/01/01:00:15.330000,0
1970/01/01/01:00:15.330000,0
1970/01/01/01:00:15.370000,0
1970/01/01/01:00:15.370000,0
1970/01/01/01:00:15.420000,0
1970/01/01/01:00:15.460000,0
1970/01/01/01:00:15.460000,0
1970/01/01/01:00:15.510000,0
1970/01/01/01:00:15.510000,0
1970/01/01/01:00:15.510000,0
1970/01/01/01:00:15.520000,0
1970/01/01/01:00:15.560000,0
1970/01/01/01:00:15.560000,0
1970/01/01/01:00:15.610000,0
1970/01/01/01:00:15.610000,0
1970/01/01/01:00:15.650000,0
1970/01/01/01:00:15.690000,0
1970/01/01/01:00:15.690000,0
1970/01/01/01:00:15.700000,0
1970/01/01/01:00:15.710000,0
1970/01/01/01:00:15.750000,0
1970/01/01/01:00:15.790000,0
1970/01/01/01:00:15.790000,0
1970/01/01/01:00:15.840000,0
1970/01/01/01:00:15.840000,0
1970/01/01/01:00:15.880000,0
1970/01/01/01:00:15.890000,0
1970/01/01/01:00:15.910000,0
1970/01/01/01:00:15.950000,0
1970/01/01/01:00:15.990000,0
1970/01/01/01:00:15.990000,0
1970/01/01/01:00:16.040000,0
1970/01/01/01:00:16.040000,0
1970/01/01/01:00:16.080000,0
1970/01/01/01:00:16.080000,0
1970/01/01/01:00:16.090000,0
1970/01/01/01:00:16.100000,0
1970/01/01/01:00:16.140000,0
1970/01/01/01:00:16.140000,0
1970/01/01/01:00:16.180000,0
1970/01/01/01:00:16.230000,0
1970/01/01/01:00:16.270000,0
1970/01/01/01:00:16.270000,0
1970/01/01/01:00:16.320000,0
1970/01/01/01:00:16.320000,0
1970/01/01/01:00:16.320000,0
1970/01/01/01:00:16.330000,0
1970/01/01/01:00:16.370000,0
1970/01/01/01:00:16.410000,0
1970/01/01/01:00:16.410000,0
1970/01/01/01:00:16.460000,0
1970/01/01/01:00:16.460000,0
1970/01/01/01:00:16.470000,0
1970/01/01/01:00:16.520000,0
1970/01/01/01:00:16.520000,0
1970/01/01/01:00:16.560000,0
1970/01/01/01:00:16.560000,0
1970/01/01/01:00:16.610000,0
1970/01/01/01:00:16.650000,0
1970/01/01/01:00:16.700000,0
1970/01/01/01:00:16.700000,0
1970/01/01/01:00:16.700000,0
1970/01/01/01:00:16.710000,0
1970/01/01/01:00:16.750000,0
1970/01/01/01:00:16.750000,0
1970/01/01/01:00:16.800000,0
1970/01/01/01:00:16.800000,0
1970/01/01/01:00:16.840000,0
1970/01/01/01:00:16.890000,0
1970/01/01/01:00:16.900000,0
1970/01/01/01:00:16.940000,0
1970/01/01/01:00:16.940000,0
1970/01/01/01:00:16.990000,0
1970/01/01/01:00:17.030000,0
1970/01/01/01:00:17.030000,0
1970/01/01/01:00:17.070000,0
1970/01/01/01:00:17.070000,0
1970/01/01/01:00:17.070000,0
1970/01/01/01:00:17.080000,0
1970/01/01/01:00:17.090000,0
1970/01/01/01:00:17.130000,0
1970/01/01/01:00:17.170000,0
1970/01/01/01:00:17.170000,0
1970/01/01/01:00:17.210000,0
1970/01/01/01:00:17.210000,0
1970/01/01/01:00:17.220000,0
1970/01/01/01:00:17.230000,0
1970/01/01/01:00:17.270000,0
1970/01/01/01:00:17.270000,0
1970/01/01/01:00:17.310000,0
1970/01/01/01:00:17.310000,0
1970/01/01/01:00:17.350000,0
1970/01/01/01:00:17.350000,0
1970/01/01/01:00:17.360000,0
1970/01/01/01:00:17.370000,0
1970/01/01/01:00:17.410000,0
1970/01/01/01:00:17.410000,0
1970/01/01/01:00:17.450000,0
1970/01/01/01:00:17.450000,0
