time,.layout.dim,.layout.data_offset,.data,,,,,
1970/01/01/01:00:05.860000,[],0,3.411476118373155e-19, 6.593547135539682e-19, -7.220160007476807, -1.2773918847578833e-19, 3.538419197208149e-20, 6.065861480928256e-20
1970/01/01/01:00:05.870000,[],0,2.4639877725910007e-19, 5.819182005098165e-19, -7.220160007476807, -1.1315993630908515e-19, 2.0117513942255533e-20, 3.448716629655602e-20
1970/01/01/01:00:05.880000,[],0,1.535203014434436e-19, 5.059722152306971e-19, -7.220160007476807, -9.886094973602113e-20, 5.1541555305725964e-21, 8.835695310666389e-21
1970/01/01/01:00:05.890000,[],0,2.2804612100838604e-19, 6.135774527807296e-19, -7.220160007476807, -1.143809065920017e-19, 1.783862650791054e-20, 3.0580502123393173e-20
1970/01/01/01:00:05.900000,[],0,3.010586136426627e-19, 7.189692584091469e-19, -7.220160007476807, -1.2957901910386526e-19, 3.026762428786926e-20, 5.188735315248364e-20
1970/01/01/01:00:05.910000,[],0,3.7258078530706025e-19, 8.221813397259103e-19, -7.220160007476807, -1.4446021804354444e-19, 4.244501537435694e-20, 7.276288442209026e-20
1970/01/01/01:00:05.920000,[],0,4.426352025226649e-19, 9.232469907506752e-19, -7.220160007476807, -1.5902933724774384e-19, 5.43746141685967e-20, 9.321361967305968e-20
1970/01/01/01:00:05.930000,[],0,5.112443025635921e-19, 1.0221988851176374e-18, -7.220160007476807, -1.7329118470377394e-19, 6.606018175743626e-20, 1.1324602771627602e-19
1970/01/01/01:00:05.940000,[],0,5.453573344228555e-19, 9.360247598655115e-19, -7.220160007476807, -1.6194794064156063e-19, 7.059430119931179e-20, 1.2101879836319247e-19
1970/01/01/01:00:05.950000,[],0,5.787335551514873e-19, 8.514803872152683e-19, -7.220160007476807, -1.5081536914160692e-19, 7.503068408193535e-20, 1.2862402616197572e-19
1970/01/01/01:00:05.960000,[],0,6.113843901816984e-19, 7.685418306279318e-19, -7.220160007476807, -1.3989036827661574e-19, 7.937082967016719e-20, 1.3606428312734292e-19
1970/01/01/01:00:05.970000,[],0,6.433211098493348e-19, 6.871851535645265e-19, -7.220160007476807, -1.2916987489338122e-19, 8.361623722886757e-20, 1.433421154246171e-19
1970/01/01/01:00:05.980000,[],0,7.0624334317896e-19, 6.749091211899919e-19, -7.220160007476807, -1.2477409494660665e-19, 9.400972931385369e-20, 1.6115953412022103e-19
1970/01/01/01:00:05.990000,[],0,7.323502489856875e-19, 6.230142911002526e-19, -7.220160007476807, -1.1691859331373782e-19, 9.880238793359179e-20, 1.6937551847910104e-19
1970/01/01/01:00:06.000000,[],0,7.578617398477417e-19, 5.720950688442313e-19, -7.220160007476807, -1.0920852037231348e-19, 1.0348931606893942e-19, 1.7741024688625538e-19
1970/01/01/01:00:06.010000,[],0,7.827872249445904e-19, 5.221369787612083e-19, -7.220160007476807, -1.016417112355742e-19, 1.0807215515642461e-19, 1.8526654985034262e-19
